"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"1","PXD","Pioneer Natural Resources","230.280","+5.400","2.40%","2119921","487210904","53726369807.52","230.280","225.000","234.020","1100","100","227.020","224.880","231.795","226.880","1.18","83.33%","2.19","7.397","0.92","0.07","0.23%","0.72%","1.38%","-0.81%","8.60%","8.95%","11.53%","2.40%","Oil & Gas E&P"
"2","XOM","Exxon Mobil","102.360","+2.380","2.38%","23483049","2399933276","405644274810.96","102.360","102.360","102.510","800","200","100.920","99.980","103.100","100.850","1.49","60.00%","2.25","7.719","0.59","-0.05","0.14%","0.44%","1.45%","-0.61%","-5.22%","-2.20%","-0.61%","2.38%","Oil & Gas Integrated"
"3","WMB","Williams","35.520","+0.690","1.98%","6379166","225758576","43210032829.44","35.520","35.400","35.650","100","100","34.950","34.830","35.520","34.940","1.52","0.00%","1.67","21.269","0.53","0.13","0.30%","1.08%","2.60%","-3.52%","7.82%","6.85%","16.74%","1.98%","Oil & Gas Midstream"
"4","COP","ConocoPhillips","117.590","+1.520","1.31%","4688408","552501647","139627299899.78","117.590","117.590","119.670","1000","100","117.170","116.070","118.800","116.850","1.28","81.82%","1.68","8.070","0.40","0.03","0.13%","-0.06%","2.66%","2.05%","4.20%","9.14%","7.78%","1.31%","Oil & Gas E&P"
"5","DVN","Devon Energy","45.840","+0.540","1.19%","7489500","344599971","29369688000","45.840","45.900","45.930","7200","600","45.620","45.300","46.490","45.550","0.94","84.62%","2.08","5.026","1.18","0.04","0.08%","0.07%","2.16%","3.28%","8.87%","-7.79%","-16.28%","1.19%","Oil & Gas E&P"
"6","OKE","ONEOK Inc","71.020","+0.800","1.14%","2854425","202889647","41372753128.68","71.020","70.630","71.100","100","300","70.540","70.220","71.440","70.450","1.44","-50.00%","1.41","18.494","0.49","-0.01","0.11%","1.23%","4.55%","1.65%","15.42%","13.58%","17.65%","1.14%","Oil & Gas Midstream"
"7","KMI","Kinder Morgan","17.830","+0.190","1.08%","13141228","234061296","39632059225.39","17.830","17.840","17.900","200","200","17.700","17.640","17.900","17.670","1.60","0.00%","1.30","15.919","0.68","0.00","0.17%","0.62%","1.94%","0.45%","12.27%","5.11%","5.64%","1.08%","Oil & Gas Midstream"
"8","PSX","Phillips 66","134.290","+1.150","0.86%","2500499","336185141","59081634166.75","134.290","134.290","134.950","100","500","133.500","133.140","135.250","133.250","1.45","-66.67%","1.50","5.770","0.57","0.04","0.10%","0.17%","3.40%","3.54%","23.79%","34.16%","38.27%","0.86%","Oil & Gas Refining & Marketing"
"9","EQT","EQT Corp","38.920","+0.260","0.67%","4707210","183321714","16009041440","38.920","37.000","39.000","100","500","39.110","38.660","39.320","38.583","1.54","-66.67%","1.91","8.885","1.17","0.08","0.24%","-0.18%","1.25%","-3.28%","-4.93%","-1.45%","24.37%","0.67%","Oil & Gas E&P"
"10","CTRA","Coterra Energy","25.690","+0.170","0.67%","5233367","134683211","19323804516.1","25.690","25.600","25.950","100","100","25.710","25.520","25.950","25.565","1.47","0.00%","1.51","5.057","0.71","0.14","0.18%","-0.35%","2.23%","-1.72%","-0.88%","-1.55%","14.13%","0.67%","Oil & Gas E&P"
"11","OXY","Occidental Petroleum","60.050","+0.340","0.57%","7456179","450131844","52866268761.85","60.050","60.000","60.300","200","100","60.180","59.710","60.940","59.895","0.99","33.33%","1.75","4.842","0.85","-0.11","-0.01%","-1.25%","2.54%","2.40%","1.38%","-1.49%","-0.46%","0.57%","Oil & Gas E&P"
"12","HES","Hess Corp","144.780","+0.620","0.43%","2663698","386894846","44470453235.7","144.780","143.420","151.150","100","100","145.740","144.160","147.050","144.525","1.04","0.00%","1.75","21.385","0.94","-0.12","0.01%","-1.21%","0.12%","2.94%","2.31%","3.38%","8.95%","0.43%","Oil & Gas E&P"
"13","CVX","Chevron","149.480","+0.320","0.21%","8879710","1334358734","282180670444.2","149.480","149.450","149.580","100","100","149.985","149.160","151.475","149.240","1.35","0.00%","1.50","8.177","0.50","-0.12","0.01%","-1.04%","0.09%","3.22%","-7.84%","-4.47%","-10.71%","0.21%","Oil & Gas Integrated"
"14","TRGP","Targa Resources","86.420","-0.450","-0.52%","1434457","124307323","19269551352","86.420","85.140","87.660","100","100","87.300","86.870","87.950","86.100","1.61","0.00%","2.13","22.273","0.65","0.09","0.09%","-0.33%","1.18%","-4.15%","8.47%","10.71%","25.24%","-0.52%","Oil & Gas Midstream"
"15","UNTC","UNIT CORP","41.200","-1.980","-4.59%","56330","2395618.294","399371128.8","41.200","41.110","42.000","0","0","43.000","43.180","43.200","41.200","0.84","0.00%","4.63","2.787","0.92","-0.24","-1.44%","-5.00%","-5.44%","14.28%","17.97%","38.40%","42.27%","-4.59%","-"
