"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"1","D","Dominion Resources","48.510","+1.510","3.21%","4915900","237898282","40593011361.21","48.510","48.300","48.680","100","100","46.830","47.000","49.065","46.760","1.27","0.00%","4.90","44.504","0.59","0.08","0.20%","3.65%","0.06%","3.94%","20.09%","-5.32%","-18.72%","3.21%","Utilities - Regulated Electric"
"2","EXC","Exelon","36.470","+0.570","1.59%","7584693","276058255","36303602561.52","36.470","36.460","36.900","200","100","35.750","35.900","36.675","35.580","1.40","33.33%","3.05","16.577","0.76","0.03","0.08%","3.43%","2.76%","-6.46%","-1.60%","-11.67%","-12.45%","1.59%","Utilities - Regulated Electric"
"3","GHM","Graham","19.270","+0.300","1.58%","63293","1214875","206241626.37","19.270","0.000","0.000","0","0","19.010","18.970","19.610","18.780","1.20","0.00%","4.38","642.333","0.64","-0.11","0.24%","1.31%","9.49%","2.34%","17.43%","46.32%","97.64%","1.58%","Specialty Industrial Machinery"
"4","ETR","Entergy","102.640","+1.450","1.43%","1079562","110416207","21705596315.36","102.640","98.000","102.710","200","500","100.610","101.190","102.670","100.500","1.08","-42.86%","2.14","19.113","0.51","0.01","0.13%","2.41%","1.74%","0.60%","13.18%","6.80%","-1.80%","1.43%","Utilities - Regulated Electric"
"5","DUK","Duke Energy","97.810","+0.770","0.79%","3352256","327759510","75383314115.68","97.810","96.050","98.250","100","100","96.520","97.040","98.280","96.130","1.60","0.00%","2.22","30.854","0.44","-0.01","0.09%","0.98%","1.22%","5.58%","15.75%","8.34%","-1.52%","0.79%","Utilities - Regulated Electric"
"6","UEC","Uranium Energy","6.440","+0.040","0.63%","5651188","36082325","2530789422.56","6.440","6.350","6.450","100","100","6.410","6.400","6.500","6.290","0.97","0.00%","3.28","-644.000","1.55","0.08","0.55%","-2.72%","1.58%","-1.53%","24.32%","103.15%","71.73%","0.63%","Uranium"
"7","BWXT","BWX Technologies","76.340","-0.390","-0.51%","460254","35223095","6986086235.92","76.340","75.970","76.660","200","100","76.580","76.730","77.150","76.180","0.96","33.33%","1.26","29.361","0.50","0.01","-0.11%","-0.92%","-0.31%","-3.16%","5.23%","8.38%","34.30%","-0.51%","Aerospace & Defense"
"8","HOLI","Hollysys Automation Technologies","26.160","-0.190","-0.72%","581873","15230976","1622509384.8","26.160","26.120","26.160","100","100","26.270","26.350","26.450","26.060","0.47","0.00%","1.48","15.209","1.37","-0.04","0.00%","2.51%","0.50%","14.04%","26.32%","50.09%","55.53%","-0.72%","Electrical Equipment & Parts"
"9","YLLXF","YELLOW CAKE PLC","7.890","-0.080","-1.00%","5725","45675.395","1710997366.83","7.890","7.830","8.000","0","0","7.970","7.970","8.000","7.890","0.74","0.00%","1.38","-14.089","0.00","0.00","0.00%","1.15%","1.94%","7.71%","23.76%","39.65%","69.68%","-1.00%","-"
"10","RWEOY","RWE AG ADR EACH REPR 1 ORD NPV","45.040","-0.530","-1.16%","19016","858862.261","33500752000","45.040","44.730","45.520","0","0","45.070","45.570","45.280","45.022","0.61","0.00%","0.57","10.708","0.00","0.00","0.04%","0.47%","0.24%","4.02%","28.91%","3.21%","9.34%","-1.16%","-"
