"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"1","DEC","Diversified Energy","16.200","+1.200","8.00%","29415","452448","776364361.2","16.200","16.200","0.000","1000","0","15.240","15.000","16.430","14.930","0.80","100.00%","10.00","-1.094","0.06","0.74","0.81%","12.03%","-9.61%","-9.61%","-9.61%","-9.61%","-9.61%","8.00%","Oil & Gas E&P"
"2","MXC","Mexco Energy","9.635","+0.505","5.53%","6981","67393","20276857.5","9.635","9.100","11.420","100","100","9.340","9.130","9.972","9.340","1.78","0.00%","6.92","4.566","0.77","0.00","0.00%","0.89%","-5.07%","-7.00%","-23.71%","-20.11%","-21.47%","5.53%","Oil & Gas E&P"
"3","GFR","Greenfire Resources","5.120","+0.260","5.35%","5782","29742","351449676.8","5.120","0.000","6.730","0","200","5.120","4.860","5.250","5.090","0.73","-100.00%","3.29","-11.879","0.01","0.58","-0.49%","5.35%","-6.06%","-15.09%","1.59%","-51.10%","-49.56%","5.35%","Oil & Gas E&P"
"4","HPK","HighPeak Energy","14.890","+0.650","4.56%","499588","7465614","1912187543.47","14.890","14.610","16.200","300","100","14.550","14.240","15.380","14.410","1.09","50.00%","6.81","7.715","2.32","-0.07","0.57%","3.40%","6.13%","-5.04%","1.03%","10.16%","-35.39%","4.56%","Oil & Gas E&P"
"5","GPRK","GeoPark","8.900","+0.330","3.85%","329804","2946120","499450004.2","8.900","8.410","10.950","3000","1000","8.690","8.570","9.060","8.690","0.68","50.00%","4.32","2.373","0.98","-0.06","-0.11%","1.83%","1.14%","-4.20%","-4.37%","-6.77%","-34.14%","3.85%","Oil & Gas E&P"
"6","TXO","TXO Partners","18.850","+0.670","3.69%","49163","909265","579637500","18.850","0.000","23.260","0","100","18.300","18.180","18.890","18.300","0.76","-100.00%","3.25","-75.702","0.26","0.00","-0.21%","3.74%","2.28%","4.03%","0.48%","-9.01%","-5.75%","3.69%","Oil & Gas E&P"
"7","VOC","VOC Energy Trust","7.380","+0.180","2.50%","42018","306128","125460000","7.380","7.220","7.500","100","400","7.200","7.200","7.380","7.200","0.50","-60.00%","2.50","5.788","0.33","0.00","0.49%","1.10%","-3.78%","-5.51%","-19.26%","-11.85%","-19.28%","2.50%","Oil & Gas E&P"
"8","PXD","Pioneer Natural Resources","230.280","+5.400","2.40%","2119921","487210904","53726369807.52","230.280","225.000","234.020","1100","100","227.020","224.880","231.795","226.880","1.18","83.33%","2.19","7.397","0.92","0.07","0.23%","0.72%","1.38%","-0.81%","8.60%","8.95%","11.53%","2.40%","Oil & Gas E&P"
"9","TPL","Texas Pacific Land","1604.610","+32.160","2.05%","23402","37542506","12315168336.87","1604.610","0.000","2300.000","0","100","1592.790","1572.450","1625.950","1587.400","1.49","-100.00%","2.45","27.775","0.37","0.08","0.96%","-0.69%","0.46%","-8.11%","-9.08%","12.70%","-23.09%","2.05%","Oil & Gas E&P"
"10","CNX","CNX Resources Corp","20.350","+0.350","1.75%","2020938","41213032","3232663861.35","20.350","20.290","21.100","100","100","20.230","20.000","20.600","20.170","1.16","0.00%","2.15","-27.133","1.30","0.00","0.30%","-0.63%","1.75%","-3.42%","-6.48%","13.18%","26.95%","1.75%","Oil & Gas E&P"
