"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"1","USAC","USA Compression","24.220","+1.390","6.09%","356840","8483707","2380807713.9","24.220","23.550","24.850","100","100","22.960","22.830","24.240","22.960","0.51","0.00%","5.61","-127.473","0.60","0.08","0.08%","0.54%","-1.74%","1.76%","-0.30%","23.66%","39.50%","6.09%","Oil & Gas Equipment & Services"
"2","FET","Forum Energy Technologies","22.650","+0.480","2.17%","21012","475387","230870951.7","22.650","22.200","24.920","100","500","23.207","22.170","23.207","22.230","1.04","-66.67%","4.41","36.532","0.24","0.93","0.18%","-3.00%","3.71%","0.80%","1.89%","-13.42%","-19.11%","2.17%","Oil & Gas Equipment & Services"
"3","MRC","MRC Global","11.220","+0.210","1.91%","459685","5132672","945867340.44","11.220","11.030","11.500","100","100","11.030","11.010","11.225","11.010","1.58","0.00%","1.95","18.700","0.55","0.00","0.54%","2.56%","5.35%","7.47%","12.65%","8.09%","0.18%","1.91%","Oil & Gas Equipment & Services"
"4","RNGR","Ranger Energy Services","10.330","+0.100","0.98%","254919","2663068","252183325.29","10.330","9.850","10.850","1000","500","10.510","10.230","10.700","10.305","1.13","33.33%","3.86","15.892","1.67","0.10","0.10%","0.00%","0.58%","2.58%","-21.18%","3.70%","-5.25%","0.98%","Oil & Gas Equipment & Services"
"5","KGS","Kodiak Gas Services","20.180","+0.100","0.50%","777086","15662564","1561932000","20.180","16.420","20.780","200","100","20.060","20.080","20.440","20.015","1.28","33.33%","2.12","14.241","4.24","0.37","0.32%","2.33%","8.73%","13.63%","19.63%","28.42%","26.13%","0.50%","Oil & Gas Equipment & Services"
"6","NOA","North American Construction","20.900","+0.050","0.24%","49849","1042492","558805285.5","20.900","0.000","27.000","0","200","20.880","20.850","21.060","20.830","1.18","-100.00%","1.10","13.005","0.24","-0.07","-0.05%","-1.27%","2.05%","1.70%","-2.38%","11.80%","64.46%","0.24%","Oil & Gas Equipment & Services"
"7","SOI","Solaris Oilfield Infrastructure","7.970","+0.010","0.13%","441802","3525835","243732682.05","7.970","7.970","8.490","200","100","8.000","7.960","8.110","7.890","0.41","33.33%","2.76","12.453","1.54","0.06","0.44%","-3.04%","-2.45%","-7.54%","-18.36%","-9.75%","-9.63%","0.13%","Oil & Gas Equipment & Services"
"8","LBRT","Liberty Energy","18.160","+0.020","0.11%","2244512","41004993","3061927218.32","18.160","18.100","18.250","200","100","18.380","18.140","18.640","18.090","1.51","33.33%","3.03","8.606","1.40","0.11","0.03%","-1.89%","-1.25%","-8.10%","9.85%","20.18%","26.07%","0.11%","Oil & Gas Equipment & Services"
"9","HAL","Halliburton","36.120","-0.030","-0.08%","5503414","199860501","32329268921.04","36.120","36.120","36.180","1700","200","36.480","36.150","36.780","36.024","1.31","78.95%","2.09","20.878","0.62","-0.17","0.04%","-1.28%","0.84%","-3.81%","-4.70%","-3.96%","-2.37%","-0.08%","Oil & Gas Equipment & Services"
"10","SLB","Schlumberger","51.980","-0.060","-0.12%","12105363","632355408","74251292426.46","51.980","51.980","52.500","1500","500","52.440","52.040","52.850","51.830","1.76","50.00%","1.96","21.748","0.85","-0.13","0.05%","-2.07%","-0.40%","-0.30%","-5.72%","-7.46%","2.88%","-0.12%","Oil & Gas Equipment & Services"
"11","VTOL","Bristow","28.180","-0.090","-0.32%","107089","3025045","795972280","28.180","0.000","36.970","0","200","28.250","28.270","28.650","27.995","1.63","-100.00%","2.32","88.062","0.44","0.18","0.21%","-0.32%","6.54%","7.23%","5.35%","-7.73%","10.47%","-0.32%","Oil & Gas Equipment & Services"
"12","XPRO","Expro Group","15.850","-0.070","-0.44%","450359","7199586","1754151643.8","15.850","0.000","24.340","0","100","16.170","15.920","16.370","15.760","0.66","-100.00%","3.83","-88.055","0.47","0.13","0.16%","-1.61%","-2.58%","1.28%","-24.05%","-22.61%","-6.98%","-0.44%","Oil & Gas Equipment & Services"
"13","FTI","TechnipFMC","20.050","-0.090","-0.45%","5079488","101776837","8730976368.4","20.050","14.950","20.550","2000","200","20.340","20.140","20.420","19.905","2.15","81.82%","2.56","-83.541","1.18","-0.05","0.17%","-0.94%","-0.10%","-3.05%","5.73%","13.29%","74.50%","-0.45%","Oil & Gas Equipment & Services"
"14","NOV","NOV Inc","20.160","-0.120","-0.59%","2189556","44485015","7941568239.36","20.160","16.350","22.000","900","200","20.470","20.280","20.680","20.075","1.44","63.64%","2.98","51.692","0.56","-0.05","0.05%","-1.42%","1.66%","5.73%","7.64%","10.32%","2.71%","-0.59%","Oil & Gas Equipment & Services"
"15","TS","Tenaris","34.520","-0.240","-0.69%","1592486","55218572","20157759652.4","34.520","34.160","34.900","100","100","34.700","34.760","35.000","34.405","1.24","0.00%","1.71","7.972","0.70","0.00","0.13%","-2.07%","1.14%","-1.00%","14.59%","9.77%","6.85%","-0.69%","Oil & Gas Equipment & Services"
"16","VAL","Valaris","68.090","-0.480","-0.70%","618264","42555449","4963431716.76","68.090","67.000","72.010","600","300","69.850","68.570","70.840","67.580","1.11","33.33%","4.75","29.223","0.99","0.04","0.24%","-0.47%","3.17%","-2.41%","-3.54%","-3.68%","6.47%","-0.70%","Oil & Gas Equipment & Services"
"17","BKR","Baker Hughes","33.930","-0.250","-0.73%","4721073","160799174","34141515989.49","33.930","33.930","34.300","300","800","34.430","34.180","34.650","33.740","1.17","-45.45%","2.66","-55.622","0.49","-0.06","0.22%","-0.56%","1.04%","0.41%","2.32%","-0.36%","20.91%","-0.73%","Oil & Gas Equipment & Services"
"18","CLB","Core Laboratories","17.490","-0.170","-0.96%","258793","4596996","817196008.86","17.490","10.500","25.000","100","100","17.800","17.660","18.190","17.400","1.10","0.00%","4.47","41.642","0.55","-0.23","-0.20%","-3.74%","-3.64%","-3.21%","-20.17%","-27.42%","-8.22%","-0.96%","Oil & Gas Equipment & Services"
"19","CHX","ChampionX","28.900","-0.310","-1.06%","1205087","35087399","5629720000","28.900","28.420","29.120","100","100","29.430","29.210","29.650","28.750","1.06","0.00%","3.08","38.533","0.62","-0.10","0.16%","-3.99%","-6.59%","-2.10%","-12.26%","-14.98%","4.61%","-1.06%","Oil & Gas Equipment & Services"
"20","OIS","Oil States International","6.710","-0.080","-1.18%","473288","3212017","428696370.96","6.710","0.000","9.500","0","500","6.870","6.790","6.945","6.690","0.79","-100.00%","3.76","-44.733","0.77","-0.15","0.00%","-3.17%","-0.15%","-4.82%","-10.17%","-18.86%","-5.23%","-1.18%","Oil & Gas Equipment & Services"
"21","AROC","Archrock","15.180","-0.220","-1.43%","1051513","15990936","2368960303.38","15.180","14.880","15.200","100","100","15.450","15.400","15.530","15.030","1.47","0.00%","3.25","54.214","0.73","0.10","0.13%","-2.13%","1.13%","4.55%","26.73%","52.15%","82.45%","-1.43%","Oil & Gas Equipment & Services"
"22","NR","Newpark Resources","6.540","-0.100","-1.51%","608603","3991066","556476586.02","6.540","6.370","6.550","100","100","6.650","6.640","6.730","6.490","0.80","0.00%","3.61","-29.727","0.86","-0.15","0.31%","-6.30%","-7.10%","-9.17%","0.77%","22.47%","60.69%","-1.51%","Oil & Gas Equipment & Services"
"23","KLXE","Klx Energy Services","11.090","-0.170","-1.51%","93683","1052399","181958420.88","11.090","10.600","11.600","100","100","11.340","11.260","11.620","11.030","0.76","0.00%","5.24","-41.074","0.81","-0.18","-0.04%","-0.63%","8.41%","14.68%","18.48%","-1.86%","-27.33%","-1.51%","Oil & Gas Equipment & Services"
"24","DNOW","DistributionNOW","11.130","-0.190","-1.68%","596008","6665624","1183465799.67","11.130","9.500","13.130","300","500","11.260","11.320","11.413","11.105","1.51","-25.00%","2.72","9.849","0.57","-0.13","-0.04%","-2.96%","0.82%","9.22%","-3.05%","-0.71%","-8.09%","-1.68%","Oil & Gas Equipment & Services"
"25","PUMP","ProPetro Holding","8.220","-0.160","-1.91%","1932942","16089056","906153918.66","8.220","8.050","11.500","1000","4500","8.460","8.380","8.595","8.170","2.11","-63.64%","5.07","411.000","2.34","-0.30","0.12%","-2.95%","-3.63%","-9.77%","-10.26%","-12.37%","-13.56%","-1.91%","Oil & Gas Equipment & Services"
"26","RES","RPC Inc","7.130","-0.150","-2.06%","2375380","17140737","1541708292.36","7.130","7.080","7.440","5300","1300","7.280","7.280","7.430","7.120","1.65","60.61%","4.26","7.059","2.84","-0.21","-0.07%","-3.26%","-2.60%","-2.19%","-13.63%","-11.50%","-15.48%","-2.06%","Oil & Gas Equipment & Services"
"27","SLCA","US Silica","11.070","-0.240","-2.12%","611348","6835135","854099340.84","11.070","10.910","11.640","100","100","11.380","11.310","11.450","11.060","1.20","0.00%","3.45","10.960","0.86","-0.41","-0.23%","-2.29%","-2.64%","-2.55%","-12.14%","-17.76%","-4.40%","-2.12%","Oil & Gas Equipment & Services"
"28","DRQ","Dril-Quip","22.770","-0.500","-2.15%","179541","4122713","778348116.81","22.770","0.000","41.990","0","200","23.410","23.270","23.580","22.670","1.35","-100.00%","3.91","2277.000","0.53","-0.18","-0.13%","-2.32%","1.92%","0.93%","-10.00%","-12.42%","-12.83%","-2.15%","Oil & Gas Equipment & Services"
"29","NCSM","NCS Multistage","17.400","-0.450","-2.52%","3088","53806","42440792.4","17.400","6.960","18.500","400","500","17.110","17.850","17.490","17.110","1.21","-11.11%","2.13","-38.666","0.44","0.00","0.00%","2.35%","-3.06%","40.21%","9.23%","-11.22%","-29.34%","-2.52%","Oil & Gas Equipment & Services"
"30","WFRD","Weatherford International","95.280","-2.550","-2.61%","553967","53285741","6871459731.6","95.280","95.000","99.230","200","100","99.090","97.830","99.770","94.830","0.84","33.33%","5.05","264.666","0.78","-0.01","0.02%","-1.36%","7.12%","4.34%","12.32%","28.57%","96.86%","-2.61%","Oil & Gas Equipment & Services"
"31","NGS","Natural Gas Services","15.660","-0.420","-2.61%","62791","985403","194767992.72","15.660","15.350","17.010","100","100","16.080","16.080","16.080","15.280","1.05","0.00%","4.97","-313.200","0.71","0.26","0.06%","7.41%","21.49%","0.84%","20.46%","51.74%","39.70%","-2.61%","Oil & Gas Equipment & Services"
"32","HLX","Helix Energy Solutions","10.010","-0.270","-2.63%","1717971","17352870","1523634402.29","10.010","9.840","10.610","100","100","10.150","10.280","10.360","9.920","1.08","0.00%","4.28","-17.258","1.20","0.00","0.15%","-4.21%","0.40%","6.60%","0.50%","23.43%","42.80%","-2.63%","Oil & Gas Equipment & Services"
"33","TDW","Tidewater","70.210","-1.900","-2.63%","604325","42800309","3710025445.98","70.210","67.910","73.250","100","100","72.520","72.110","72.980","69.640","0.68","0.00%","4.63","-143.285","1.24","-0.10","0.13%","-1.51%","10.48%","13.70%","7.57%","19.63%","104.34%","-2.63%","Oil & Gas Equipment & Services"
"34","WHD","Cactus","44.200","-1.200","-2.64%","793359","35463887","2887282301.8","44.200","38.750","46.920","500","100","45.710","45.400","46.120","43.930","1.67","66.67%","4.82","24.555","1.24","-0.07","-0.05%","-3.20%","0.39%","2.89%","-5.43%","-4.77%","-9.99%","-2.64%","Oil & Gas Equipment & Services"
"35","OII","Oceaneering International","20.650","-0.630","-2.96%","578007","12067358","2079980687.05","20.650","20.500","22.500","200","200","21.410","21.280","21.590","20.590","1.03","0.00%","4.70","79.423","0.58","-0.22","-0.12%","-4.40%","0.98%","0.00%","-11.30%","-7.32%","22.19%","-2.96%","Oil & Gas Equipment & Services"
