"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"1","XOM","Exxon Mobil","102.360","+2.380","2.38%","23483049","2399933276","405644274810.96","102.360","102.360","102.510","800","200","100.920","99.980","103.100","100.850","1.49","60.00%","2.25","7.719","0.59","-0.05","0.14%","0.44%","1.45%","-0.61%","-5.22%","-2.20%","-0.61%","2.38%","Oil & Gas Integrated"
"2","IMO","Imperial Oil","57.930","+0.740","1.29%","485144","28078918","32147968658.19","57.930","3.500","176.940","100","200","57.410","57.190","58.270","57.220","1.69","-33.33%","1.84","6.850","0.29","0.09","0.10%","2.42%","4.89%","1.54%","2.71%","19.38%","28.73%","1.29%","Oil & Gas Integrated"
"3","NFG","National Fuel Gas","50.810","+0.640","1.27%","375627","19085336","4665861366.28","50.810","48.630","51.890","100","100","50.220","50.170","51.180","50.010","0.94","0.00%","2.33","9.827","0.42","0.00","0.06%","1.06%","1.41%","-0.38%","0.40%","0.16%","-12.78%","1.27%","Oil & Gas Integrated"
"4","TGS","Transportadora de Gas del Sur","15.180","+0.090","0.60%","326657","4931565","2285382578.16","15.180","14.490","15.790","100","100","15.040","15.090","15.290","14.769","1.57","0.00%","3.45","16.663","1.04","0.00","0.13%","0.53%","-2.00%","13.54%","43.48%","13.28%","31.31%","0.60%","Oil & Gas Integrated"
"5","EC","Ecopetrol","11.960","+0.040","0.34%","2493921","30095508","24587783430.6","11.960","11.950","12.030","100","100","12.050","11.920","12.170","11.940","1.41","0.00%","1.93","3.889","1.07","0.08","0.08%","0.17%","1.06%","0.98%","20.78%","30.05%","52.47%","0.34%","Oil & Gas Integrated"
"6","E","Eni SpA","34.120","+0.110","0.32%","294455","10053801","54964544338","34.120","30.510","34.500","100","100","33.980","34.010","34.300","33.960","1.67","0.00%","1.00","3.966","0.03","0.16","0.13%","1.43%","5.77%","3.49%","13.60%","16.80%","26.69%","0.32%","Oil & Gas Integrated"
"7","BP","BP PLC","35.500","+0.100","0.28%","6915178","246235736","101615564407.5","35.500","35.000","35.540","300","100","35.640","35.400","35.820","35.430","1.42","50.00%","1.10","-45.165","0.25","0.00","0.04%","0.48%","1.98%","-1.33%","-1.26%","0.18%","8.19%","0.28%","Oil & Gas Integrated"
"8","TTE","TotalEnergies","67.570","+0.190","0.28%","1173073","79498772","158817586619.19","67.570","67.210","67.680","100","300","67.710","67.380","68.135","67.480","1.50","-50.00%","0.97","8.607","0.06","0.07","0.08%","-0.13%","2.15%","1.49%","8.65%","18.49%","15.69%","0.28%","Oil & Gas Integrated"
"9","PBR.A","Petroleo Brasileiro SA Petrobras","15.320","+0.040","0.26%","4971574","76292137","99353180214.92","15.320","15.200","15.550","100","100","15.370","15.280","15.505","15.245","1.28","0.00%","1.70","2.725","0.12","0.03","0.23%","1.73%","7.36%","5.44%","25.43%","36.35%","134.89%","0.26%","Oil & Gas Integrated"
"10","SU","Suncor Energy","32.110","+0.070","0.22%","5868604","188746108","41582958815.06","32.110","31.800","32.670","1000","100","32.200","32.040","32.430","31.990","2.62","81.82%","1.37","6.735","0.45","-0.23","-0.02%","0.28%","3.85%","-2.64%","1.67%","10.68%","11.55%","0.22%","Oil & Gas Integrated"
"11","CVX","Chevron","149.480","+0.320","0.21%","8879710","1334358734","282180670444.2","149.480","149.450","149.580","100","100","149.985","149.160","151.475","149.240","1.35","0.00%","1.50","8.177","0.50","-0.12","0.01%","-1.04%","0.09%","3.22%","-7.84%","-4.47%","-10.71%","0.21%","Oil & Gas Integrated"
"12","PBR","Petroleo Brasileiro SA Petrobras","16.000","+0.030","0.19%","10099956","161953692","104353610080","16.000","16.000","16.150","100","200","16.090","15.970","16.220","15.920","1.14","-33.33%","1.88","2.846","0.24","0.09","0.22%","1.39%","7.02%","5.19%","20.27%","26.10%","108.22%","0.19%","Oil & Gas Integrated"
"13","SHEL","Shell PLC","65.910","+0.110","0.17%","4934145","325680604","214926810762.3","65.910","65.900","66.400","900","200","65.860","65.800","66.420","65.670","1.56","63.64%","1.14","5.771","0.16","0.02","0.10%","0.15%","2.86%","0.73%","6.25%","8.90%","22.48%","0.17%","Oil & Gas Integrated"
"14","CVE","Cenovus Energy","16.580","-0.070","-0.42%","7731671","128902682","31218111768.6","16.580","16.570","16.700","3000","100","16.810","16.650","16.845","16.555","0.98","93.55%","1.74","6.981","0.58","-0.06","-0.03%","-0.90%","2.03%","-5.79%","-12.92%","-3.90%","-7.13%","-0.42%","Oil & Gas Integrated"
"15","EQNR","Equinor","31.480","-0.160","-0.51%","1796747","56713695","92732497853.12","31.480","31.320","32.140","100","100","31.530","31.640","31.785","31.425","1.59","0.00%","1.14","3.486","0.22","0.05","0.11%","-0.88%","2.01%","-0.73%","4.29%","10.43%","8.44%","-0.51%","Oil & Gas Integrated"
"16","YPF","YPF SA","16.520","-0.670","-3.90%","2197813","36675894","6497527340.36","16.520","16.530","17.120","100","100","17.150","17.190","17.250","16.470","0.86","0.00%","4.54","2.913","1.14","-0.06","-0.18%","-5.60%","-3.05%","2.29%","43.78%","10.58%","89.67%","-3.90%","Oil & Gas Integrated"
