"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"1","NVGS","Navigator","15.230","+0.680","4.67%","353962","5328898","1116131890.24","15.230","15.050","0.000","200","0","14.840","14.550","15.250","14.600","3.47","100.00%","4.47","22.072","1.23","0.13","-0.13%","2.35%","5.25%","2.28%","7.63%","11.99%","32.92%","4.67%","Oil & Gas Midstream"
"2","TRMD","Torm","31.450","+1.040","3.42%","405633","12694298","2696281243.85","31.450","31.100","31.600","100","600","31.000","30.410","31.580","31.000","0.79","-71.43%","1.91","4.625","1.17","0.03","0.22%","-2.27%","10.82%","10.70%","23.16%","43.32%","45.26%","3.42%","Oil & Gas Midstream"
"3","FLNG","Flex LNG","30.020","+0.960","3.30%","460891","13748463","1613164266.36","30.020","29.500","30.110","400","200","29.420","29.060","30.110","29.258","1.75","33.33%","2.93","8.552","1.56","-0.16","0.03%","-0.20%","2.84%","2.39%","6.36%","2.05%","8.72%","3.30%","Oil & Gas Midstream"
"4","CQP","Cheniere Energy Partners LP","51.300","+1.510","3.03%","248676","12633809","24831207009.9","51.300","51.310","51.750","100","400","49.500","49.790","51.500","48.930","1.17","-60.00%","5.16","15.688","0.18","-0.08","-0.16%","-1.44%","2.44%","-15.04%","-0.88%","10.77%","1.90%","3.03%","Oil & Gas Midstream"
"5","STNG","Scorpio Tankers","62.520","+1.720","2.83%","969696","60484661","3320297467.8","62.520","59.650","63.480","100","100","63.000","60.800","63.130","61.730","1.00","0.00%","2.30","6.046","2.11","0.10","0.03%","-3.17%","6.49%","12.22%","22.77%","41.81%","21.19%","2.83%","Oil & Gas Midstream"
"6","TNK","Teekay Tankers","51.380","+1.410","2.82%","391139","19999181","1751016064.98","51.380","50.860","52.100","100","100","50.940","49.970","51.720","50.405","0.99","0.00%","2.63","7.691","1.64","-0.04","0.01%","-5.60%","2.29%","1.16%","34.15%","29.04%","86.72%","2.82%","Oil & Gas Midstream"
"7","INSW","International Seaways","46.590","+1.110","2.44%","448117","20918905","2278670729.31","46.590","46.550","47.700","100","700","47.000","45.480","47.110","46.225","0.96","-75.00%","1.95","5.996","1.28","0.04","-0.02%","-3.44%","4.39%","2.50%","11.10%","31.81%","55.32%","2.44%","Oil & Gas Midstream"
"8","DHT","DHT Holdings","10.010","+0.200","2.04%","2299612","23021469","1611605415.42","10.010","9.940","10.020","100","100","10.000","9.810","10.100","9.840","1.52","0.00%","2.65","27.054","1.72","0.05","0.00%","-4.58%","-0.99%","-2.25%","5.89%","19.77%","33.05%","2.04%","Oil & Gas Midstream"
"9","WMB","Williams","35.520","+0.690","1.98%","6379166","225758576","43210032829.44","35.520","35.400","35.650","100","100","34.950","34.830","35.520","34.940","1.52","0.00%","1.67","21.269","0.53","0.13","0.30%","1.08%","2.60%","-3.52%","7.82%","6.85%","16.74%","1.98%","Oil & Gas Midstream"
"10","ENLC","Enlink Midstream","12.390","+0.230","1.89%","1828337","22558545","5660389143.36","12.390","12.100","13.400","100","100","12.150","12.160","12.410","12.150","1.10","0.00%","2.14","16.743","0.77","-0.16","0.08%","2.14%","1.89%","-11.06%","6.44%","14.62%","8.28%","1.89%","Oil & Gas Midstream"
"11","GEL","Genesis Energy","11.790","+0.210","1.81%","250378","2951872","1443854309.22","11.790","11.250","13.000","5000","46400","11.740","11.580","11.900","11.590","1.03","-80.54%","2.68","-294.750","0.24","-0.17","-0.17%","-0.76%","1.55%","-6.95%","20.23%","23.47%","28.10%","1.81%","Oil & Gas Midstream"
"12","TK","Teekay","7.270","+0.120","1.68%","588451","4296202","661201614.56","7.270","7.270","8.000","300","100","7.230","7.150","7.390","7.209","0.90","50.00%","2.53","9.565","1.00","0.00","0.00%","-6.79%","5.36%","3.12%","21.37%","7.54%","63.37%","1.68%","Oil & Gas Midstream"
"13","CLCO","Cool Company","12.920","+0.200","1.57%","340086","4368972","693654929.04","12.920","11.000","13.050","200","100","12.690","12.720","12.950","12.660","2.03","33.33%","2.28","0.000","1.53","0.08","0.43%","1.73%","9.49%","6.43%","3.19%","1.36%","9.57%","1.57%","Oil & Gas Midstream"
"14","TNP","Tsakos Energy Navigation","22.540","+0.320","1.44%","308948","6997236","665056291.62","22.540","19.270","0.000","400","0","22.940","22.220","22.940","22.470","1.22","100.00%","2.12","3.750","1.60","0.04","-0.06%","-5.97%","7.13%","11.62%","16.06%","25.83%","50.40%","1.44%","Oil & Gas Midstream"
"15","GLNG","Golar LNG","23.290","+0.300","1.30%","774250","18020902","2440745420","23.290","22.930","23.340","100","2100","23.080","22.990","23.395","22.995","1.21","-90.91%","1.74","3.212","0.85","-0.09","0.11%","-0.04%","8.93%","7.87%","4.12%","1.37%","9.06%","1.30%","Oil & Gas Midstream"
