"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"1","SGU","Star Group LP","11.910","+0.380","3.30%","38859","461639","423867443.46","11.910","11.000","15.200","100","300","11.870","11.530","12.030","11.620","1.24","-50.00%","3.56","14.703","0.15","0.67","1.62%","-9.01%","-9.98%","-8.88%","6.07%","-4.74%","5.73%","3.30%","Oil & Gas Refining & Marketing"
"2","CAPL","CrossAmerica","23.460","+0.660","2.89%","130143","3048180","890793091.2","23.460","23.020","24.040","100","100","22.850","22.800","23.740","22.700","4.76","0.00%","4.56","14.392","0.72","-0.09","0.23%","4.22%","8.11%","1.34%","17.63%","30.40%","31.65%","2.89%","Oil & Gas Refining & Marketing"
"3","CVI","CVR Energy","31.150","+0.850","2.81%","836703","25934193","3131528158.85","31.150","30.690","31.200","100","400","30.530","30.300","31.200","30.350","1.32","-60.00%","2.81","6.771","2.47","0.09","0.29%","-0.80%","-0.95%","-3.59%","8.20%","10.78%","22.63%","2.81%","Oil & Gas Refining & Marketing"
"4","MPC","Marathon Petroleum","152.360","+4.000","2.70%","3187634","483145318","57850677123.72","152.360","152.360","153.960","100","100","149.030","148.360","152.410","149.030","1.50","0.00%","2.28","5.418","0.84","0.05","0.22%","0.99%","2.68%","0.62%","7.67%","28.36%","40.59%","2.70%","Oil & Gas Refining & Marketing"
"5","IEP","Icahn Enterprises","17.650","+0.460","2.68%","654773","11427520","7250672226.35","17.650","17.510","17.680","100","100","17.320","17.190","17.746","17.100","0.47","0.00%","3.76","-30.964","1.54","0.00","-0.06%","-0.23%","13.80%","3.46%","0.71%","-40.46%","-58.48%","2.68%","Oil & Gas Refining & Marketing"
"6","DKL","Delek Logistics Partners LP","44.150","+0.980","2.27%","33623","1481048","1924783002.6","44.150","42.140","45.690","100","100","43.840","43.170","44.390","43.502","0.70","0.00%","2.06","12.062","0.38","-0.52","-0.52%","3.61%","0.85%","-15.87%","9.84%","-11.09%","6.24%","2.27%","Oil & Gas Refining & Marketing"
"7","DK","Delek US","26.370","+0.570","2.21%","704436","18468691","1685926948.77","26.370","25.900","26.930","100","100","25.800","25.800","26.460","25.790","1.05","0.00%","2.60","7.345","1.13","-0.04","0.32%","-0.72%","-2.55%","-4.97%","7.24%","13.98%","6.21%","2.21%","Oil & Gas Refining & Marketing"
"8","DINO","HF Sinclair Corp","56.140","+0.570","1.02%","1478515","83142590","11267935638.12","56.140","55.050","57.850","100","100","55.860","55.570","56.970","55.580","1.37","0.00%","2.50","3.931","0.86","0.08","0.23%","-1.28%","0.30%","3.31%","7.72%","22.87%","17.24%","1.02%","Oil & Gas Refining & Marketing"
"9","PBF","PBF Energy","44.400","+0.440","1.00%","1868241","83029866","5425729994.4","44.400","42.980","45.800","100","100","44.300","43.960","45.170","44.070","1.45","0.00%","2.50","1.943","1.67","-0.07","0.21%","-1.94%","3.76%","-1.57%","-2.93%","11.14%","20.59%","1.00%","Oil & Gas Refining & Marketing"
"10","PSX","Phillips 66","134.290","+1.150","0.86%","2500499","336185141","59081634166.75","134.290","134.290","134.950","100","500","133.500","133.140","135.250","133.250","1.45","-66.67%","1.50","5.770","0.57","0.04","0.10%","0.17%","3.40%","3.54%","23.79%","34.16%","38.27%","0.86%","Oil & Gas Refining & Marketing"
"11","WKC","World Kinect","22.970","+0.190","0.83%","423637","9722742","1382836149.95","22.970","15.000","27.000","100","200","22.730","22.780","23.270","22.730","1.35","-33.33%","2.37","12.620","0.72","-0.11","0.22%","-0.91%","4.50%","7.52%","6.88%","6.35%","-11.35%","0.83%","Oil & Gas Refining & Marketing"
"12","PARR","Par Pacific","36.560","+0.190","0.52%","1417594","51967744","2211868227.68","36.560","0.000","37.500","0","100","36.540","36.370","37.153","36.075","1.98","-100.00%","2.96","6.013","2.55","0.01","0.37%","3.36%","8.49%","5.21%","12.56%","36.98%","65.73%","0.52%","Oil & Gas Refining & Marketing"
"13","VLO","Valero Energy","130.660","+0.660","0.51%","2638194","344790239","44483581401.72","130.660","130.400","138.500","200","100","130.640","130.000","131.920","130.050","1.45","33.33%","1.44","4.499","0.78","0.05","0.20%","-1.16%","1.63%","3.39%","3.33%","15.42%","12.45%","0.51%","Oil & Gas Refining & Marketing"
"14","UGP","Ultrapar Participacoes","5.400","-0.020","-0.37%","1330839","7185077","5883182253","5.400","4.960","5.510","100","100","5.410","5.420","5.460","5.340","1.51","0.00%","2.21","17.419","0.19","-0.46","-0.09%","0.00%","3.85%","3.05%","53.41%","37.93%","152.99%","-0.37%","Oil & Gas Refining & Marketing"
"15","CSAN","Cosan","15.580","-0.080","-0.51%","209476","3278204","7273912733.7","15.580","12.000","17.480","500","800","15.820","15.660","15.940","15.530","0.48","-23.08%","2.62","31.097","0.07","0.03","0.06%","-1.52%","4.07%","6.79%","26.05%","-1.89%","39.43%","-0.51%","Oil & Gas Refining & Marketing"
"16","AE","Adams Resources & Energy","25.695","-0.485","-1.85%","7752","199427","65430801.495","25.695","25.010","31.580","200","100","26.320","26.180","26.320","25.260","0.86","33.33%","4.05","30.229","0.34","-1.20","1.32%","-2.60%","-1.29%","-10.47%","-18.73%","-24.14%","-30.59%","-1.85%","Oil & Gas Refining & Marketing"
"17","VVV","Valvoline","36.740","-0.840","-2.24%","1097225","40496223","4775725613.12","36.740","36.350","37.110","100","100","37.290","37.580","37.490","36.610","1.17","0.00%","2.34","4.208","0.91","-0.18","0.01%","-2.96%","-0.54%","5.15%","17.83%","-2.16%","11.88%","-2.24%","Oil & Gas Refining & Marketing"
"18","SUN","Sunoco","56.910","-3.020","-5.04%","711259","41089019","4784144784.09","56.910","56.100","57.000","100","800","60.000","59.930","60.470","56.610","2.12","-77.78%","6.44","12.160","1.30","-0.36","0.21%","-4.45%","0.83%","5.68%","21.66%","32.90%","42.35%","-5.04%","Oil & Gas Refining & Marketing"
