"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"1","PXD","Pioneer Natural Resources","230.280","+5.400","2.40%","2119921","487210904","53726369807.52","230.280","225.000","234.020","1100","100","227.020","224.880","231.795","226.880","1.18","83.33%","2.19","7.397","0.92","0.07","0.23%","0.72%","1.38%","-0.81%","8.60%","8.95%","11.53%","2.40%","Oil & Gas E&P"
"2","XOM","Exxon Mobil","102.360","+2.380","2.38%","23483049","2399933276","405644274810.96","102.360","102.360","102.510","800","200","100.920","99.980","103.100","100.850","1.49","60.00%","2.25","7.719","0.59","-0.05","0.14%","0.44%","1.45%","-0.61%","-5.22%","-2.20%","-0.61%","2.38%","Oil & Gas Integrated"
"3","CNX","CNX Resources Corp","20.350","+0.350","1.75%","2020938","41213032","3232663861.35","20.350","20.290","21.100","100","100","20.230","20.000","20.600","20.170","1.16","0.00%","2.15","-27.133","1.30","0.00","0.30%","-0.63%","1.75%","-3.42%","-6.48%","13.18%","26.95%","1.75%","Oil & Gas E&P"
"4","COP","ConocoPhillips","117.590","+1.520","1.31%","4688408","552501647","139627299899.78","117.590","117.590","119.670","1000","100","117.170","116.070","118.800","116.850","1.28","81.82%","1.68","8.070","0.40","0.03","0.13%","-0.06%","2.66%","2.05%","4.20%","9.14%","7.78%","1.31%","Oil & Gas E&P"
"5","FANG","Diamondback Energy","157.010","+1.930","1.24%","1400366","220422247","28102420876.11","157.010","156.480","157.500","200","100","156.570","155.080","158.620","156.320","1.05","33.33%","1.48","6.379","0.79","0.04","0.08%","0.40%","2.55%","1.78%","10.53%","15.63%","26.13%","1.24%","Oil & Gas E&P"
"6","DVN","Devon Energy","45.840","+0.540","1.19%","7489500","344599971","29369688000","45.840","45.900","45.930","7200","600","45.620","45.300","46.490","45.550","0.94","84.62%","2.08","5.026","1.18","0.04","0.08%","0.07%","2.16%","3.28%","8.87%","-7.79%","-16.28%","1.19%","Oil & Gas E&P"
"7","RRC","Range Resources","30.800","+0.360","1.18%","1738432","53553542","7432190365.6","30.800","29.850","35.000","100","100","30.870","30.440","31.090","30.510","0.95","0.00%","1.91","6.567","0.73","0.08","0.24%","0.52%","2.94%","-5.64%","-1.43%","4.70%","33.65%","1.18%","Oil & Gas E&P"
"8","MRO","Marathon Oil","24.420","+0.260","1.08%","8857482","217090375","14291740482.36","24.420","24.230","24.450","100","800","24.360","24.160","24.780","24.300","1.20","-77.78%","1.99","4.642","1.52","0.12","0.25%","-0.89%","0.41%","-4.01%","1.19%","-0.68%","-3.19%","1.08%","Oil & Gas E&P"
"9","EQT","EQT Corp","38.920","+0.260","0.67%","4707210","183321714","16009041440","38.920","37.000","39.000","100","500","39.110","38.660","39.320","38.583","1.54","-66.67%","1.91","8.885","1.17","0.08","0.24%","-0.18%","1.25%","-3.28%","-4.93%","-1.45%","24.37%","0.67%","Oil & Gas E&P"
"10","APA","Apache","36.110","+0.230","0.64%","2838703","102854323","11075638292.31","36.110","36.120","36.680","1300","2000","36.140","35.880","36.640","35.910","0.87","-21.21%","2.03","3.276","0.93","0.01","0.15%","0.42%","2.15%","-0.25%","-3.74%","-2.53%","-15.17%","0.64%","Oil & Gas E&P"
"11","OXY","Occidental Petroleum","60.050","+0.340","0.57%","7456179","450131844","52866268761.85","60.050","60.000","60.300","200","100","60.180","59.710","60.940","59.895","0.99","33.33%","1.75","4.842","0.85","-0.11","-0.01%","-1.25%","2.54%","2.40%","1.38%","-1.49%","-0.46%","0.57%","Oil & Gas E&P"
"12","EOG","EOG Resources","121.600","+0.650","0.54%","3023003","368878923","70910991603.2","121.600","114.900","125.600","100","100","121.810","120.950","123.299","121.260","1.49","0.00%","1.69","9.198","0.52","0.23","0.12%","-0.55%","1.24%","-0.36%","4.61%","2.51%","2.52%","0.54%","Oil & Gas E&P"
"13","OVV","Ovintiv","44.150","+0.230","0.52%","1983311","87880955","11995460872.2","44.150","42.500","49.000","100","200","44.305","43.920","44.760","43.885","1.24","-33.33%","1.99","3.135","0.78","0.10","0.24%","0.75%","2.06%","0.61%","1.32%","14.36%","-3.39%","0.52%","Oil & Gas E&P"
"14","MUR","Murphy Oil","42.760","+0.100","0.23%","1907938","81993092","6605271509.16","42.760","42.350","45.410","8000","1000","43.010","42.660","43.480","42.630","1.92","77.78%","1.99","6.975","1.31","0.05","0.01%","-2.06%","1.04%","-1.16%","2.16%","5.84%","8.29%","0.23%","Oil & Gas E&P"
"15","CVX","Chevron","149.480","+0.320","0.21%","8879710","1334358734","282180670444.2","149.480","149.450","149.580","100","100","149.985","149.160","151.475","149.240","1.35","0.00%","1.50","8.177","0.50","-0.12","0.01%","-1.04%","0.09%","3.22%","-7.84%","-4.47%","-10.71%","0.21%","Oil & Gas Integrated"
