"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"1","NXT","Nextracker","47.420","+0.570","1.22%","4274660","205051153","2944614844.5","47.420","46.650","47.400","200","100","46.430","46.850","49.729","45.790","2.83","33.33%","8.41","1896.800","8.68","-0.33","0.20%","-3.72%","-0.94%","11.29%","43.48%","24.33%","97.58%","1.22%","Solar"
"2","ARRY","Array Technologies","16.960","+0.160","0.95%","4364401","75092915","2564631500.8","16.960","16.810","17.100","100","100","16.540","16.800","17.755","16.460","1.37","0.00%","7.71","-58.482","3.06","-0.03","0.03%","-1.68%","-10.26%","4.24%","-9.93%","-15.64%","-10.97%","0.95%","Solar"
"3","NOVA","Sunnova Energy International","15.260","+0.010","0.07%","3578363","54608811","1868073638.34","15.260","15.090","15.500","2000","100","14.840","15.250","15.610","14.620","1.16","90.48%","6.49","-10.822","3.36","0.03","0.53%","-0.78%","10.26%","21.30%","73.21%","-27.06%","-13.10%","0.07%","Solar"
"4","FSLR","First Solar","172.160","-0.120","-0.07%","1766736","306751445","18394299537.92","172.160","172.150","172.860","200","100","170.980","172.280","177.890","169.355","1.59","33.33%","4.95","-419.902","1.75","0.02","0.10%","1.04%","2.07%","7.41%","18.45%","-11.69%","17.97%","-0.07%","Solar"
"5","ENPH","Enphase Energy","131.240","-0.900","-0.68%","3039250","403111646","17920981587.84","131.240","131.000","131.290","200","200","130.660","132.140","135.650","128.670","0.89","0.00%","5.28","47.379","2.28","0.08","0.26%","-2.05%","5.91%","23.21%","13.13%","-28.21%","-48.19%","-0.68%","Solar"
"6","RUN","Sunrun","19.460","-0.170","-0.87%","10876072","212822353","4239923355.08","19.460","19.350","19.490","200","500","19.090","19.630","20.065","18.880","1.02","-42.86%","6.04","24.325","5.24","-0.16","0.27%","1.04%","4.46%","35.70%","94.41%","1.57%","-16.80%","-0.87%","Solar"
"7","CSIQ","Canadian Solar","25.740","-0.490","-1.87%","772110","20083765","1663723329.84","25.740","25.600","25.870","200","800","25.770","26.230","26.585","25.610","1.03","-60.00%","3.72","7.482","1.55","-0.08","0.19%","1.42%","6.41%","17.64%","19.50%","-33.09%","-15.05%","-1.87%","Solar"
"8","SEDG","SolarEdge Technologies","91.700","-1.900","-2.03%","1889289","178036004","5209589699.3","91.700","91.810","92.240","100","500","93.000","93.600","97.270","91.460","1.03","-66.67%","6.21","55.575","3.35","-0.09","0.07%","-4.51%","-5.58%","11.18%","-23.98%","-66.15%","-67.87%","-2.03%","Solar"
"9","SHLS","Shoals Technologies","15.170","-0.370","-2.38%","5623187","87668821","2579772199.15","15.170","15.180","15.950","100","100","15.250","15.540","16.170","15.060","2.78","0.00%","7.14","17.847","3.34","0.03","0.13%","-3.74%","-4.17%","2.29%","0.46%","-38.08%","-36.63%","-2.38%","Solar"
"10","MAXN","Maxeon Solar Technologies","6.800","-0.370","-5.16%","2282377","16020316","358904353.6","6.800","6.800","6.960","100","300","6.955","7.170","7.350","6.690","0.73","-50.00%","9.21","-1.039","7.07","-0.37","0.22%","-1.31%","10.75%","45.92%","-31.24%","-74.37%","-55.44%","-5.16%","Solar"
"11","JKS","JinkoSolar","34.980","-1.960","-5.31%","1375940","48823111","1803978730.62","34.980","34.880","35.610","500","100","36.050","36.940","36.260","34.750","1.46","66.67%","4.09","20.612","4.30","-0.07","0.09%","-0.06%","2.67%","5.11%","34.16%","-17.10%","-11.50%","-5.31%","Solar"
"12","BEEM","Beam Global","6.660","-0.430","-6.06%","216476","1493991","94794237.54","6.660","6.600","6.670","200","100","6.990","7.090","7.250","6.600","0.44","33.33%","9.17","-3.346","1.67","-0.45","0.38%","-5.53%","2.30%","16.03%","-2.77%","-36.45%","-59.56%","-6.06%","Solar"
