"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"1","BKH","Black Hills Corp","55.200","+1.250","2.32%","343121","18898080","3753138693.6","55.200","54.820","55.540","100","100","53.670","53.950","55.380","53.670","0.95","0.00%","3.17","13.904","0.51","0.14","0.16%","1.62%","1.06%","3.25%","15.60%","-5.24%","-18.22%","2.32%","Utilities - Diversified"
"2","ALE","ALLETE","62.290","+1.130","1.85%","273346","16977421","3580267557.45","62.290","61.860","62.680","100","100","60.710","61.160","62.450","60.710","1.10","0.00%","2.84","18.428","0.48","-0.29","-0.14%","1.07%","3.30%","11.13%","20.61%","11.44%","0.22%","1.85%","Utilities - Diversified"
"3","SRE","Sempra Energy","75.820","+1.090","1.46%","2714171","205582415","47715653357.56","75.820","65.400","79.000","100","100","74.520","74.730","76.230","74.235","1.47","0.00%","2.67","22.906","0.43","-0.13","0.08%","2.88%","0.80%","4.43%","15.39%","3.66%","1.95%","1.46%","Utilities - Diversified"
"4","UTL","Unitil","53.320","+0.750","1.43%","42949","2282851","858358370.08","53.320","0.000","0.000","0","0","52.330","52.570","53.430","52.330","1.15","0.00%","2.09","20.586","0.27","-0.19","0.11%","2.58%","5.40%","8.07%","21.11%","6.80%","8.68%","1.43%","Utilities - Diversified"
"5","AVA","Avista","36.050","+0.310","0.87%","573459","20694701","2789102412.6","36.050","35.690","36.380","100","100","35.640","35.740","36.420","35.550","1.45","0.00%","2.43","17.004","0.75","0.08","0.11%","0.17%","3.38%","3.27%","15.16%","-4.49%","-15.44%","0.87%","Utilities - Diversified"
"6","OTTR","Otter Tail","85.680","+0.710","0.84%","190422","16283813","3573757439.28","85.680","63.500","90.000","100","100","84.680","84.970","86.090","84.040","0.71","0.00%","2.41","12.637","0.51","0.06","0.10%","-2.10%","8.61%","11.53%","16.24%","7.13%","48.57%","0.84%","Utilities - Diversified"
"7","NWE","NorthWestern","51.160","+0.270","0.53%","587842","30115851","3133152896.08","51.160","50.820","51.460","100","100","50.900","50.890","51.505","50.730","2.07","0.00%","1.52","15.741","0.97","0.04","0.04%","-0.04%","0.65%","0.70%","7.16%","-8.28%","-10.32%","0.53%","Utilities - Diversified"
"8","AES","The AES Corp","19.340","+0.090","0.47%","4785292","92729419","12950625536.9","19.340","19.000","19.500","100","400","19.140","19.250","19.530","19.000","1.61","-60.00%","2.75","-23.585","0.72","-0.10","0.03%","1.26%","-0.05%","6.67%","55.09%","-8.72%","-28.95%","0.47%","Utilities - Diversified"
"9","MNTK","Montauk Renewables","8.920","+0.010","0.11%","225567","2014818","1281462533.48","8.920","7.250","9.930","100","100","8.820","8.910","9.050","8.820","1.19","0.00%","2.58","35.680","0.35","-0.11","0.22%","-0.34%","0.45%","-6.99%","-6.40%","10.40%","-15.69%","0.11%","Utilities - Diversified"
"10","BIP","Brookfield Infrastructure Partners LP","31.110","-0.380","-1.21%","594969","18603935","14376908818.41","31.110","30.790","31.600","100","100","31.000","31.490","31.750","30.850","1.50","0.00%","2.86","222.214","0.13","-0.19","0.10%","-1.80%","3.32%","12.11%","12.74%","-10.89%","3.15%","-1.21%","Utilities - Diversified"
"11","ELP","Energy Company of Paraná","8.290","-0.190","-2.24%","1075802","8968394","4945500638","8.290","8.200","8.380","300","100","8.520","8.480","8.520","8.255","1.26","50.00%","3.13","20.987","0.42","0.00","0.00%","-1.29%","2.94%","6.19%","27.67%","24.81%","53.27%","-2.24%","Utilities - Diversified"
