"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"1","VIA","Via Renewables","10.730","+1.330","14.15%","218213","2327144","34686881.73","10.730","10.680","10.730","1000","100","10.600","9.400","10.790","10.600","8.60","81.82%","2.02","-71.533","8.93","0.28","0.19%","14.27%","17.14%","11.19%","52.63%","42.50%","-57.46%","14.15%","Utilities - Regulated Electric"
"2","HE","Hawaiian Electric Industries","15.400","+1.210","8.53%","5618882","85591623","1695911109.2","15.400","15.410","15.500","3200","3400","14.240","14.190","16.026","13.950","2.56","-3.03%","14.63","7.000","5.14","-0.06","0.42%","10.39%","8.37%","19.29%","31.40%","-57.46%","-61.65%","8.53%","Utilities - Regulated Electric"
"3","ES","Eversource Energy","63.740","+2.020","3.27%","2187965","139023338","22266052561.66","63.740","63.360","63.990","100","100","61.510","61.720","63.840","61.390","1.90","0.00%","3.97","15.738","0.63","0.06","0.21%","4.35%","3.11%","6.00%","16.69%","-10.09%","-21.28%","3.27%","Utilities - Regulated Electric"
"4","D","Dominion Resources","48.510","+1.510","3.21%","4915900","237898282","40593011361.21","48.510","48.300","48.680","100","100","46.830","47.000","49.065","46.760","1.27","0.00%","4.90","44.504","0.59","0.08","0.20%","3.65%","0.06%","3.94%","20.09%","-5.32%","-18.72%","3.21%","Utilities - Regulated Electric"
"5","AGR","Avangrid","33.310","+0.900","2.78%","1054896","35137557","12883339178.65","33.310","33.020","33.580","100","100","32.310","32.410","33.810","32.300","2.21","0.00%","4.66","14.674","1.49","-0.06","0.00%","3.00%","1.37%","4.06%","17.47%","-10.08%","-18.85%","2.78%","Utilities - Regulated Electric"
"6","WEC","WEC Energ Group Inc","86.320","+2.150","2.55%","2582766","221961857","27228308715.92","86.320","86.060","86.510","100","100","84.000","84.170","86.340","83.750","1.83","0.00%","3.08","19.397","0.82","-0.01","0.13%","4.08%","4.68%","1.59%","9.92%","-3.14%","-5.02%","2.55%","Utilities - Regulated Electric"
"7","XEL","Xcel Energy","63.470","+1.560","2.52%","4627632","292392640","35023781766.93","63.470","63.450","64.460","100","100","61.830","61.910","63.500","61.710","1.82","0.00%","2.89","20.022","0.84","-0.07","0.08%","3.13%","3.94%","4.19%","13.32%","1.24%","-6.32%","2.52%","Utilities - Regulated Electric"
"8","AEP","American Electric Power","83.180","+1.960","2.41%","3429261","284309894","43742368092.22","83.180","83.160","83.420","100","200","81.000","81.220","83.340","80.810","1.49","-33.33%","3.11","18.525","0.65","-0.02","0.10%","3.48%","1.16%","3.32%","17.94%","-2.57%","-8.75%","2.41%","Utilities - Regulated Electric"
"9","EVRG","Evergy","53.430","+1.230","2.36%","2267938","120897971","12273980046.51","53.430","53.280","53.390","100","300","52.120","52.200","53.645","51.990","1.38","-50.00%","3.17","16.339","0.99","0.06","-0.01%","3.99%","3.23%","3.23%","11.96%","-9.04%","-11.23%","2.36%","Utilities - Regulated Electric"
"10","AEE","Ameren","74.000","+1.660","2.29%","1531229","112986329","19457933552","74.000","73.610","74.330","100","100","72.130","72.340","74.010","71.820","1.03","0.00%","3.03","17.874","0.59","0.12","0.05%","2.68%","3.16%","-5.53%","1.84%","-11.08%","-13.72%","2.29%","Utilities - Regulated Electric"
"11","POR","Portland General Electric","44.230","+0.890","2.05%","881975","38901756","4472710229.69","44.230","43.760","45.950","100","100","43.140","43.340","44.350","43.090","1.10","0.00%","2.91","17.011","0.88","0.05","0.27%","2.60%","4.00%","6.55%","12.02%","-4.82%","-5.51%","2.05%","Utilities - Regulated Electric"
"12","FE","FirstEnergy","37.400","+0.740","2.02%","2994770","111583982","21460674380.2","37.400","37.110","37.500","100","200","36.470","36.660","37.430","36.400","1.04","-33.33%","2.81","52.676","0.58","0.09","0.23%","3.23%","1.14%","0.11%","11.96%","-3.11%","-7.22%","2.02%","Utilities - Regulated Electric"
"13","CMS","CMS Energy","59.210","+1.140","1.96%","2188051","129266674","17275320802.07","59.210","55.110","61.500","100","1800","57.840","58.070","59.290","57.780","1.23","-89.47%","2.60","20.775","0.75","0.21","0.19%","3.46%","2.12%","1.39%","15.31%","-0.97%","-3.96%","1.96%","Utilities - Regulated Electric"
"14","PNW","Pinnacle West Capital Corp","73.210","+1.370","1.91%","716085","52246836","8301892910.66","73.210","72.830","73.530","100","100","71.690","71.840","73.210","71.690","1.11","0.00%","2.12","17.185","0.63","0.11","0.07%","2.92%","-0.69%","-2.49%","2.70%","-10.17%","2.61%","1.91%","Utilities - Regulated Electric"
"15","EXC","Exelon","36.470","+0.570","1.59%","7584693","276058255","36303602561.52","36.470","36.460","36.900","200","100","35.750","35.900","36.675","35.580","1.40","33.33%","3.05","16.577","0.76","0.03","0.08%","3.43%","2.76%","-6.46%","-1.60%","-11.67%","-12.45%","1.59%","Utilities - Regulated Electric"
"16","ED","Consolidated Edison","92.410","+1.440","1.58%","1806880","166671508","31901759777.39","92.410","86.000","98.000","200","100","90.700","90.970","92.550","90.560","1.55","33.33%","2.19","19.830","0.52","0.00","0.10%","3.04%","2.85%","0.80%","10.03%","1.10%","-0.03%","1.58%","Utilities - Regulated Electric"
"17","CNP","CenterPoint Energy","29.010","+0.440","1.54%","3902173","112920201","18311795475.6","29.010","28.750","29.250","100","100","28.520","28.570","29.060","28.396","1.67","0.00%","2.33","18.245","0.62","-0.14","0.02%","2.22%","0.52%","0.76%","9.77%","-3.10%","0.84%","1.54%","Utilities - Regulated Electric"
"18","PPL","PPL Corp","27.510","+0.410","1.51%","6433901","176543104","20278291941.39","27.510","27.220","27.680","100","100","27.000","27.100","27.555","26.970","1.28","0.00%","2.16","26.970","0.87","0.27","0.31%","2.57%","2.27%","4.85%","20.92%","5.06%","-2.25%","1.51%","Utilities - Regulated Electric"
"19","ETR","Entergy","102.640","+1.450","1.43%","1079562","110416207","21705596315.36","102.640","98.000","102.710","200","500","100.610","101.190","102.670","100.500","1.08","-42.86%","2.14","19.113","0.51","0.01","0.13%","2.41%","1.74%","0.60%","13.18%","6.80%","-1.80%","1.43%","Utilities - Regulated Electric"
"20","OGE","OGE Energy","35.410","+0.480","1.37%","1553731","54837580","7092175559.24","35.410","35.080","35.610","100","100","34.930","34.930","35.445","34.750","1.34","0.00%","1.99","10.665","0.78","0.03","0.13%","1.06%","-0.31%","-0.23%","9.90%","-1.08%","-6.17%","1.37%","Utilities - Regulated Electric"
"21","NEE","NextEra Energy","61.570","+0.830","1.37%","10064315","619640576","126323645613.37","61.570","61.610","62.000","600","200","60.550","60.740","62.150","60.180","1.37","50.00%","3.24","29.319","0.49","0.06","0.12%","3.05%","0.11%","4.06%","25.52%","-14.93%","-24.48%","1.37%","Utilities - Regulated Electric"
"22","DTE","DTE Energy","111.760","+1.500","1.36%","954243","106536456","23051475329.52","111.760","111.270","112.170","100","100","109.840","110.260","112.060","109.770","1.41","0.00%","2.08","20.246","0.46","0.08","0.18%","1.95%","1.69%","4.26%","19.73%","0.88%","-1.76%","1.36%","Utilities - Regulated Electric"
