"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"1","SR","Spire","63.760","+1.420","2.28%","481176","30604266","3393893473.2","63.760","63.410","64.070","100","100","62.340","62.340","64.140","62.090","1.08","0.00%","3.29","16.561","0.93","0.05","0.44%","-0.03%","1.32%","4.27%","13.52%","2.28%","-3.94%","2.28%","Utilities - Regulated Gas"
"2","NWN","Northwest Natural","39.680","+0.740","1.90%","199844","7928645","1459361793.28","39.680","39.380","39.950","100","100","38.910","38.940","39.910","38.700","1.16","0.00%","3.11","15.622","0.55","-0.12","-0.08%","1.33%","3.25%","6.38%","5.48%","-5.06%","-14.08%","1.90%","Utilities - Regulated Gas"
"3","NI","NiSource","27.010","+0.460","1.73%","3317592","89379805","11166351061.41","27.010","26.820","27.190","100","100","26.350","26.550","27.070","26.350","1.35","0.00%","2.71","15.888","0.81","-0.09","0.13%","2.90%","2.00%","3.09%","14.48%","-1.93%","2.15%","1.73%","Utilities - Regulated Gas"
"4","NJR","New Jersey Resources","45.270","+0.690","1.55%","515989","23344496","4426805629.26","45.270","44.960","45.540","100","100","44.350","44.580","45.525","44.350","1.32","0.00%","2.64","16.704","0.53","-0.18","-0.02%","0.47%","3.66%","6.29%","11.37%","-0.95%","-4.67%","1.55%","Utilities - Regulated Gas"
"5","OGS","ONE Gas","64.690","+0.970","1.52%","318377","20610729","3587322494.5","64.690","64.310","65.030","100","100","63.570","63.720","65.390","63.528","1.09","0.00%","2.92","15.855","0.58","-0.05","0.22%","-0.57%","2.31%","8.29%","-2.34%","-15.22%","-12.11%","1.52%","Utilities - Regulated Gas"
"6","UGI","UGI Corp","24.910","+0.310","1.26%","2585853","64658541","5218546431.13","24.910","24.570","25.230","100","100","24.600","24.600","25.350","24.570","1.35","0.00%","3.17","-3.479","1.24","0.28","-0.02%","1.63%","9.35%","12.85%","19.39%","-4.35%","-30.77%","1.26%","Utilities - Regulated Gas"
"7","SWX","Southwest Gas Holdings","64.020","+0.670","1.06%","234169","15007155","4578782806.62","64.020","62.080","64.760","100","100","63.140","63.350","64.780","63.140","0.80","0.00%","2.59","-20.651","0.35","0.08","0.09%","-0.48%","1.23%","6.15%","10.42%","0.54%","7.91%","1.06%","Utilities - Regulated Gas"
"8","ATO","Atmos Energy","116.930","+1.030","0.89%","882307","103085965","17636965598.34","116.930","116.580","117.370","100","100","115.670","115.900","117.330","115.670","1.89","0.00%","1.43","19.168","0.59","-0.03","0.27%","1.76%","1.84%","2.71%","9.61%","-1.53%","7.95%","0.89%","Utilities - Regulated Gas"
"9","CPK","Chesapeake Utilities Corp","105.780","+0.150","0.14%","137234","14548397","2352053947.86","105.780","0.000","0.000","0","0","105.020","105.630","107.480","105.020","0.82","0.00%","2.33","20.988","0.63","-0.14","0.06%","-0.60%","3.70%","7.31%","11.95%","-11.47%","-7.86%","0.14%","Utilities - Regulated Gas"
"10","BIPC","Brookfield Infrastructure","35.280","0.000","0.00%","733794","26139057","4651316787.6","35.280","25.150","36.500","100","200","34.850","35.280","36.210","34.850","1.35","-33.33%","3.85","3.564","0.68","-0.14","-0.34%","-0.95%","1.06%","7.30%","6.02%","-22.07%","-5.56%","0.00%","Utilities - Regulated Gas"
"11","RGCO","RGC Resources","20.190","-0.150","-0.74%","24684","500855","202541274.78","20.190","20.000","21.910","100","200","20.150","20.340","20.714","20.040","1.42","-33.33%","3.31","17.710","0.31","0.37","0.30%","-5.61%","-6.40%","9.02%","22.81%","8.44%","-5.68%","-0.74%","Utilities - Regulated Gas"
"12","NFE","New Fortress Energy","37.210","-0.520","-1.38%","557758","20887948","7629218617.26","37.210","36.360","38.770","1000","100","37.960","37.730","38.290","37.110","0.64","81.82%","3.13","40.010","1.02","-0.04","0.05%","-1.40%","-1.17%","-6.04%","28.43%","34.93%","4.19%","-1.38%","Utilities - Regulated Gas"
"13","OPAL","OPAL Fuels","5.350","-0.170","-3.08%","121968","652117","149667641","5.350","5.250","5.500","10000","200","5.520","5.520","5.536","5.280","0.71","96.08%","4.63","48.636","1.06","0.94","0.71%","-1.29%","-4.12%","-3.95%","-28.76%","-21.32%","-22.35%","-3.08%","Utilities - Regulated Gas"
"14","SPH","Suburban Propane","17.090","-0.670","-3.77%","385224","6669149","1094016418.36","17.090","16.500","17.860","300","200","17.760","17.760","17.760","17.070","0.72","20.00%","3.89","8.901","0.63","-0.18","-0.52%","-11.77%","-1.73%","-0.41%","8.13%","20.64%","21.77%","-3.77%","Utilities - Regulated Gas"
