"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"1","ARIS","Aris Water Solutions","8.690","+0.300","3.58%","330129","2868535","261994193.01","8.690","8.140","10.040","100","500","8.360","8.390","8.950","8.250","1.18","-66.67%","8.34","217.250","1.34","-0.34","0.00%","3.82%","10.28%","4.57%","-11.33%","-17.43%","-37.88%","3.58%","Utilities - Regulated Water"
"2","WTRG","Essential Utilities","37.820","+0.470","1.26%","1529940","57759331","10331131198.94","37.820","37.460","38.150","100","100","37.070","37.350","37.870","36.910","1.34","0.00%","2.57","21.367","0.56","-0.05","0.03%","1.83%","4.79%","4.97%","14.35%","-5.23%","-19.11%","1.26%","Utilities - Regulated Water"
"3","AWK","American Water Works","133.510","+1.520","1.15%","1132395","150886637","25995064149.47","133.510","132.970","135.990","100","200","131.190","131.990","134.020","130.770","1.77","-33.33%","2.46","29.603","0.58","-0.03","0.15%","1.48%","1.34%","0.20%","13.10%","-7.21%","-11.63%","1.15%","Utilities - Regulated Water"
"4","SJW","SJW Group","65.650","+0.300","0.46%","112437","7387044","2096401646.95","65.650","65.320","65.930","100","100","64.760","65.350","66.222","64.760","1.07","0.00%","2.24","27.016","0.39","0.00","0.00%","-1.29%","-1.97%","-1.90%","10.52%","-4.36%","-18.45%","0.46%","Utilities - Regulated Water"
"5","AWR","American States Water","80.460","+0.040","0.05%","207727","16716601","2975458432.32","80.460","80.130","80.740","100","100","80.180","80.420","81.320","79.820","1.81","0.00%","1.87","38.132","0.57","0.31","0.22%","-1.48%","-1.99%","-0.98%","2.21%","-6.04%","-13.80%","0.05%","Utilities - Regulated Water"
"6","CWT","California Water Service Group","51.890","+0.020","0.04%","193230","10013044","2994623790","51.890","0.000","55.200","0","100","51.620","51.870","52.340","51.305","1.14","-100.00%","2.00","29.316","0.34","-0.02","0.15%","-0.76%","-1.42%","0.39%","8.16%","3.20%","-14.43%","0.04%","Utilities - Regulated Water"
"7","YORW","The York Water","38.360","-0.260","-0.67%","41999","1613267","549382751.96","38.360","37.750","39.130","100","100","38.500","38.620","39.080","38.210","1.07","0.00%","2.25","27.400","0.31","-0.08","0.13%","-0.27%","0.38%","-0.42%","4.12%","-7.07%","-13.47%","-0.67%","Utilities - Regulated Water"
"8","CWCO","Consolidated Water","35.340","-0.260","-0.73%","153589","5422935","556515377.76","35.340","34.790","36.000","100","100","35.480","35.600","36.195","34.850","1.38","0.00%","3.78","93.000","1.03","0.11","0.50%","-0.05%","0.41%","-3.87%","14.15%","68.90%","146.56%","-0.73%","Utilities - Regulated Water"
"9","GWRS","Global Water Resources","12.940","-0.140","-1.07%","21367","277468","312779429.98","12.940","12.850","13.080","100","200","13.120","13.080","13.120","12.920","1.09","-33.33%","1.53","53.916","0.19","-0.61","-0.61%","-0.46%","-0.23%","6.45%","31.16%","0.99%","-3.19%","-1.07%","Utilities - Regulated Water"
"10","MSEX","Middlesex Water","64.710","-0.910","-1.39%","85156","5531399","1152271298.16","64.710","62.340","68.710","100","100","65.810","65.620","66.200","64.160","0.96","0.00%","3.11","27.075","0.49","-0.10","0.35%","-4.25%","-7.15%","-1.92%","-1.83%","-18.65%","-17.83%","-1.39%","Utilities - Regulated Water"
"11","ARTNA","Artesian Resources","40.790","-0.660","-1.59%","20119","827132","419198707.63","40.790","16.390","65.550","400","400","41.240","41.450","41.730","40.770","0.73","0.00%","2.32","21.468","0.22","-0.59","-0.37%","-4.45%","-2.42%","-4.58%","-2.27%","-12.34%","-29.27%","-1.59%","Utilities - Regulated Water"
"12","PCYO","Pure Cycle","10.300","-0.170","-1.62%","20177","208281","248082916","10.300","9.250","11.780","200","1000","10.490","10.470","10.510","10.250","0.36","-66.67%","2.48","54.210","0.11","0.10","0.24%","0.59%","-5.94%","1.58%","6.51%","-7.21%","0.29%","-1.62%","Utilities - Regulated Water"
"13","SBS","Sabesp","14.940","-0.290","-1.90%","600078","8987597","10211637442.86","14.940","14.910","0.000","600","0","15.190","15.230","15.200","14.815","1.04","100.00%","2.53","17.311","0.18","-0.03","0.20%","-2.73%","4.40%","7.02%","27.80%","31.17%","54.34%","-1.90%","Utilities - Regulated Water"
