"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"1","AQN","Algonquin Power & Utilities","6.450","+0.130","2.06%","4307764","27722350","4444953187.05","6.450","6.010","7.080","100","100","6.280","6.320","6.520","6.270","1.64","0.00%","3.96","-19.545","0.69","0.23","0.08%","1.87%","1.39%","3.80%","15.50%","-16.00%","1.77%","2.06%","Utilities - Renewable"
"2","NEP","NextEra Energy Partners LP","30.870","+0.460","1.51%","1552792","48174227","2884262417.19","30.870","30.810","31.130","300","100","30.390","30.410","31.430","30.020","1.86","50.00%","4.64","5.492","1.68","-0.06","0.37%","1.71%","2.35%","21.49%","51.52%","-45.49%","-53.09%","1.51%","Utilities - Renewable"
"3","ORA","Ormat Technologies","76.430","+0.640","0.84%","356094","27185950","4612862487.26","76.430","0.000","105.000","0","100","75.650","75.790","76.880","75.110","1.27","-100.00%","2.34","65.324","0.66","-0.03","0.16%","0.71%","0.66%","9.81%","15.91%","-8.28%","-9.57%","0.84%","Utilities - Renewable"
"4","BEPC","Brookfield Renewable","28.990","+0.200","0.69%","1266429","36801892","5208119191.34","28.990","28.750","29.210","100","100","28.670","28.790","29.610","28.470","1.45","0.00%","3.96","3.321","0.86","-0.12","0.21%","-0.58%","0.83%","4.09%","29.06%","-6.83%","7.42%","0.69%","Utilities - Renewable"
"5","FLNC","Fluence Energy","23.850","0.000","0.00%","1272366","30617593","3004883799.75","23.850","23.480","24.000","100","200","23.470","23.850","24.830","23.110","1.03","-33.33%","7.21","-39.750","2.14","0.17","-0.04%","-5.54%","-7.88%","-7.45%","15.66%","-12.48%","47.13%","0.00%","Utilities - Renewable"
"6","ELLO","Ellomay Capital","14.950","0.000","0.00%","16","260","192146145.75","14.950","0.000","0.000","0","0","14.950","14.950","14.950","14.950","0.01","0.00%","0.00","-467.187","0.00","0.00","0.00%","-1.58%","3.17%","14.56%","-0.80%","-8.11%","0.27%","0.00%","Utilities - Renewable"
"7","AMPS","Altus Power","6.800","-0.030","-0.44%","834507","5694275","1081131680.4","6.800","6.600","7.500","100","100","6.710","6.830","7.000","6.540","0.96","0.00%","6.73","19.428","1.39","0.00","0.59%","2.41%","6.08%","30.27%","55.61%","12.03%","9.68%","-0.44%","Utilities - Renewable"
"8","CWEN.A","Clearway Energy-A","25.430","-0.150","-0.59%","189861","4839444","2975419349","25.430","20.800","27.000","1400","600","25.460","25.580","25.830","25.290","1.40","40.00%","2.11","5.096","0.16","0.04","0.20%","-0.51%","2.21%","6.31%","47.26%","-0.61%","-10.81%","-0.59%","Utilities - Renewable"
"9","CWEN","Clearway Energy-C","27.190","-0.240","-0.87%","1240264","33817468","3181346917","27.190","26.930","27.330","100","100","27.345","27.430","27.680","27.100","2.71","0.00%","2.11","5.448","1.07","0.04","0.06%","-0.66%","2.10%","7.77%","47.25%","0.17%","-10.17%","-0.87%","Utilities - Renewable"
"10","BEP","Brookfield Renewable Partners LP","26.020","-0.260","-0.99%","541966","14304353","7473723246.96","26.020","25.950","27.500","100","100","26.250","26.280","27.060","25.900","1.07","0.00%","4.41","-43.366","0.24","-0.04","0.00%","-2.77%","-2.95%","0.39%","24.59%","-10.80%","4.16%","-0.99%","Utilities - Renewable"
"11","AY","Atlantica Sustainable Infrastructure","21.280","-0.220","-1.02%","609701","13029646","2471864669.12","21.280","21.090","21.280","100","100","21.340","21.500","21.685","21.170","1.49","0.00%","2.40","-425.600","0.91","-0.49","0.26%","-1.48%","0.19%","8.13%","29.62%","-6.06%","-12.65%","-1.02%","Utilities - Renewable"
"12","EBR.B","Centrais Eletricas Brasileiras","9.400","-0.120","-1.26%","4446","42001","21166941638.8","9.400","0.000","9.850","0","200","9.460","9.520","9.520","9.330","0.65","-100.00%","2.00","31.333","0.00","0.36","0.36%","-3.29%","6.82%","0.43%","20.36%","-0.32%","28.23%","-1.26%","Utilities - Renewable"
"13","ENLT","Enlight Renewable Energy","18.890","-0.250","-1.31%","217726","4118799","2226327948.32","18.890","17.000","30.240","100","400","19.550","19.140","19.570","18.770","4.72","-60.00%","4.18","75.560","0.19","0.03","0.19%","-2.58%","0.21%","8.31%","35.22%","3.22%","6.42%","-1.31%","Utilities - Renewable"
"14","CEG","Constellation Energy","115.250","-1.640","-1.40%","1362814","157648366","36808739081","115.250","114.980","115.670","100","100","116.400","116.890","117.230","114.970","1.73","0.00%","1.93","-235.685","0.43","-0.02","0.17%","-0.07%","-2.95%","-3.86%","7.08%","20.58%","42.42%","-1.40%","Utilities - Renewable"
"15","RNW","ReNew Energy Global","7.550","-0.110","-1.44%","620909","4739393","2758086626.85","7.550","7.280","7.790","500","400","7.630","7.660","7.790","7.471","0.79","11.11%","4.16","-50.333","0.88","0.07","0.40%","0.80%","5.45%","14.74%","56.64%","32.92%","48.62%","-1.44%","Utilities - Renewable"
"16","EBR","Brazilian Electric Power","8.490","-0.130","-1.51%","836647","7115215","19117801543.98","8.490","8.460","8.860","200","100","8.470","8.620","8.600","8.450","1.41","33.33%","1.74","23.848","0.07","0.00","0.00%","-1.96%","2.91%","1.31%","26.15%","7.33%","17.55%","-1.51%","Utilities - Renewable"
"17","BNRG","Brenmiller Energy","5.7300","-0.1200","-2.05%","648","3929","12326470.788","5.730","3.3300","6.4100","100","100","5.7300","5.8500","5.7300","5.7300","0.14","0.00%","0.00","-0.788","0.09","0.00","0.00%","-5.75%","-5.29%","-9.90%","-9.69%","-35.25%","-63.03%","-2.05%","Utilities - Renewable"
