"REF_DATE","GEO","DGUID","Supply and disposition","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008-01","Canada","2016A000011124","Supply of coal to coke plants","Metric tonnes","214","units ","0","v43973911","1.1","371304","","","","0"
"2008-01","Canada","2016A000011124","Coal, stocks opening","Metric tonnes","214","units ","0","v43973922","1.2","982128","","","","0"
"2008-01","Canada","2016A000011124","Coal, received","Metric tonnes","214","units ","0","v43973924","1.3","190976","","","","0"
"2008-01","Canada","2016A000011124","Coal, inventory adjustments","Metric tonnes","214","units ","0","v43973925","1.4","0","","","","0"
"2008-01","Canada","2016A000011124","Coal, stocks closing","Metric tonnes","214","units ","0","v43973926","1.5","801800","","","","0"
"2008-01","Canada","2016A000011124","Disposition of coal by coke plants","Metric tonnes","214","units ","0","v43973927","1.6","371304","","","","0"
"2008-01","Canada","2016A000011124","Coal, charged to ovens","Metric tonnes","214","units ","0","v43973928","1.7","371304","","","","0"
"2008-01","Canada","2016A000011124","Coal, sold or used for other purposes","Metric tonnes","214","units ","0","v43973929","1.8","0","","","","0"
"2008-01","Canada","2016A000011124","Supply of coal coke","Metric tonnes","214","units ","0","v43973930","1.9","289643","","","","0"
"2008-01","Canada","2016A000011124","Coal coke, stocks opening","Metric tonnes","214","units ","0","v43973912","1.10","374254","","","","0"
"2008-01","Canada","2016A000011124","Coal coke, production","Metric tonnes","214","units ","0","v43973913","1.11","258482","","","","0"
"2008-01","Canada","2016A000011124","Coal coke, received","Metric tonnes","214","units ","0","v43973914","1.12","0","","","","0"
"2008-01","Canada","2016A000011124","Coal coke, adjustments","Metric tonnes","214","units ","0","v43973915","1.13","6568","","","","0"
"2008-01","Canada","2016A000011124","Coal coke, stocks closing","Metric tonnes","214","units ","0","v43973916","1.14","336525","","","","0"
"2008-01","Canada","2016A000011124","Disposition of coal coke","Metric tonnes","214","units ","0","v43973917","1.15","289643","","","","0"
"2008-01","Canada","2016A000011124","Coal coke, used in blast furnaces","Metric tonnes","214","units ","0","v43973918","1.16","287985","","","","0"
"2008-01","Canada","2016A000011124","Coal coke, used in associated works","Metric tonnes","214","units ","0","v43973919","1.17","0","","","","0"
"2008-01","Canada","2016A000011124","Coal coke, sold for industrial use","Metric tonnes","214","units ","0","v43973920","1.18","1658","","","","0"
"2008-01","Canada","2016A000011124","Coal coke, sold for export","Metric tonnes","214","units ","0","v43973921","1.19","0","","","","0"
"2008-01","Canada","2016A000011124","Coal coke, all other sales and/or uses","Metric tonnes","214","units ","0","v43973923","1.20","0","","","","0"
"2008-02","Canada","2016A000011124","Supply of coal to coke plants","Metric tonnes","214","units ","0","v43973911","1.1","346614","","","","0"
"2008-02","Canada","2016A000011124","Coal, stocks opening","Metric tonnes","214","units ","0","v43973922","1.2","801800","","","","0"
"2008-02","Canada","2016A000011124","Coal, received","Metric tonnes","214","units ","0","v43973924","1.3","76353","","","","0"
"2008-02","Canada","2016A000011124","Coal, inventory adjustments","Metric tonnes","214","units ","0","v43973925","1.4","0","","","","0"
"2008-02","Canada","2016A000011124","Coal, stocks closing","Metric tonnes","214","units ","0","v43973926","1.5","531539","","","","0"
"2008-02","Canada","2016A000011124","Disposition of coal by coke plants","Metric tonnes","214","units ","0","v43973927","1.6","346614","","","","0"
"2008-02","Canada","2016A000011124","Coal, charged to ovens","Metric tonnes","214","units ","0","v43973928","1.7","346614","","","","0"
"2008-02","Canada","2016A000011124","Coal, sold or used for other purposes","Metric tonnes","214","units ","0","v43973929","1.8","0","","","","0"
"2008-02","Canada","2016A000011124","Supply of coal coke","Metric tonnes","214","units ","0","v43973930","1.9","259035","","","","0"
"2008-02","Canada","2016A000011124","Coal coke, stocks opening","Metric tonnes","214","units ","0","v43973912","1.10","336525","","","","0"
"2008-02","Canada","2016A000011124","Coal coke, production","Metric tonnes","214","units ","0","v43973913","1.11","236788","","","","0"
"2008-02","Canada","2016A000011124","Coal coke, received","Metric tonnes","214","units ","0","v43973914","1.12","1928","","","","0"
"2008-02","Canada","2016A000011124","Coal coke, adjustments","Metric tonnes","214","units ","0","v43973915","1.13","10368","","","","0"
"2008-02","Canada","2016A000011124","Coal coke, stocks closing","Metric tonnes","214","units ","0","v43973916","1.14","305838","","","","0"
"2008-02","Canada","2016A000011124","Disposition of coal coke","Metric tonnes","214","units ","0","v43973917","1.15","259035","","","","0"
"2008-02","Canada","2016A000011124","Coal coke, used in blast furnaces","Metric tonnes","214","units ","0","v43973918","1.16","257272","","","","0"
"2008-02","Canada","2016A000011124","Coal coke, used in associated works","Metric tonnes","214","units ","0","v43973919","1.17","0","","","","0"
"2008-02","Canada","2016A000011124","Coal coke, sold for industrial use","Metric tonnes","214","units ","0","v43973920","1.18","1763","","","","0"
"2008-02","Canada","2016A000011124","Coal coke, sold for export","Metric tonnes","214","units ","0","v43973921","1.19","0","","","","0"
"2008-02","Canada","2016A000011124","Coal coke, all other sales and/or uses","Metric tonnes","214","units ","0","v43973923","1.20","0","","","","0"
"2008-03","Canada","2016A000011124","Supply of coal to coke plants","Metric tonnes","214","units ","0","v43973911","1.1","376117","","","","0"
"2008-03","Canada","2016A000011124","Coal, stocks opening","Metric tonnes","214","units ","0","v43973922","1.2","531539","","","","0"
"2008-03","Canada","2016A000011124","Coal, received","Metric tonnes","214","units ","0","v43973924","1.3","222600","","","","0"
"2008-03","Canada","2016A000011124","Coal, inventory adjustments","Metric tonnes","214","units ","0","v43973925","1.4","10294","","","","0"
"2008-03","Canada","2016A000011124","Coal, stocks closing","Metric tonnes","214","units ","0","v43973926","1.5","388316","","","","0"
"2008-03","Canada","2016A000011124","Disposition of coal by coke plants","Metric tonnes","214","units ","0","v43973927","1.6","376117","","","","0"
"2008-03","Canada","2016A000011124","Coal, charged to ovens","Metric tonnes","214","units ","0","v43973928","1.7","376117","","","","0"
"2008-03","Canada","2016A000011124","Coal, sold or used for other purposes","Metric tonnes","214","units ","0","v43973929","1.8","0","","","","0"
"2008-03","Canada","2016A000011124","Supply of coal coke","Metric tonnes","214","units ","0","v43973930","1.9","285827","","","","0"
"2008-03","Canada","2016A000011124","Coal coke, stocks opening","Metric tonnes","214","units ","0","v43973912","1.10","305838","","","","0"
"2008-03","Canada","2016A000011124","Coal coke, production","Metric tonnes","214","units ","0","v43973913","1.11","258408","","","","0"
"2008-03","Canada","2016A000011124","Coal coke, received","Metric tonnes","214","units ","0","v43973914","1.12","19777","","","","0"
"2008-03","Canada","2016A000011124","Coal coke, adjustments","Metric tonnes","214","units ","0","v43973915","1.13","8189","","","","0"
